Dataset,Existence,Choice,Positive relations,Negative relations,All
bpic2011_1,96.46,99.04,100.0,96.15,100.0
bpic2011_2,93.32,81.98,98.42,91.74,94.54
bpic2011_3,98.66,99.07,100.0,98.67,100.0
bpic2011_4,86.53,89.81,100.0,84.54,100.0
bpic2012_accepted,100.0,100.0,100.0,100.0,100.0
bpic2012_cancelled,96.38,99.44,100.0,98.84,100.0
bpic2012_rejected,100.0,100.0,100.0,100.0,100.0
bpic2015_1,99.25,99.25,100.0,99.25,99.25
bpic2015_2,99.77,95.65,100.0,99.77,100.0
bpic2015_3,99.72,99.71,99.76,99.72,99.71
bpic2015_4,99.51,56.79,100.0,99.51,100.0
bpic2015_5,100.0,100.0,100.0,100.0,100.0
bpic2017_accepted,97.6,97.46,100.0,100.0,100.0
bpic2017_cancelled,97.93,97.93,99.82,98.48,99.98
bpic2017_rejected,97.94,100.0,99.66,100.0,100.0
hospital_billing_1,93.46,93.46,94.53,93.46,94.53
hospital_billing_2,68.34,67.85,74.23,40.33,74.17
production,55.25,54.26,55.84,59.76,54.55
sepsis_cases_1,16.85,19.76,18.16,16.17,14.66
sepsis_cases_2,75.03,75.03,69.82,68.69,73.35
sepsis_cases_3,89.43,91.94,93.37,93.8,93.37
traffic_fines,93.33,93.33,93.01,95.53,92.58
